Morpheme,Location,Example,Length,Frequency,Common
eur,prefix,aneurysm,3,356,True
eur,suffix,grandeur,3,356,True
exo,prefix,exogamy,3,172,False
eye,prefix,eyebrow,3,309,True
fab,prefix,faba bean,3,88,False
fam,prefix,infamy,3,76,False
fasc,prefix,fasciculation,4,44,False
fav,prefix,favorite,3,61,False
fed,suffix,breastfed,3,220,True
fel,prefix,Felinae,3,202,True
fell,prefix,fellation,4,68,False
fer,prefix,aquifer,3,659,True
ferr,prefix,ferric,4,91,False
fest,prefix,festival,4,96,False
fet,prefix,fetid,3,174,False
fic,prefix,Ficus,3,226,True
fid,suffix,bifid,3,118,False
fil,prefix,defile,3,380,True
fili,prefix,affiliation,4,47,False
fin,prefix,affinity,3,630,True
fire,prefix,fire-resistant,4,206,True
firm,prefix,affirm,4,61,False
fix,prefix,affix,3,114,False
flam,prefix,flambe,4,70,False
flav,prefix,flavonoid,4,48,False
flor,prefix,floral,4,68,False
foc,prefix,bifocal,3,74,False
fold,suffix,eight-fold,4,123,False
foli,prefix,defoliant,4,55,False
forc,embedded,force,4,76,False
fore,prefix,forebear,4,351,True
form,prefix,conform,4,433,True
fort,prefix,fort,4,101,False
free,prefix,free-and-easy,4,149,False
ful,prefix,frightful,3,881,True
fum,prefix,fume,3,82,False
fund,prefix,found,4,57,False
fuse,prefix,confuse,4,73,False
fy,suffix,beautify,2,480,True
gain,prefix,gainer,4,61,False
gam,prefix,agamic,3,387,True
gamb,prefix,gam,4,60,False
gate,suffix,watergate,4,239,True
gel,prefix,congeal,3,251,True
geno,prefix,genocide,4,52,False
gen,prefix,allergen,3,1036,True
ger,prefix,erigeron,3,1143,True
germ,prefix,germ,4,68,False
gest,prefix,congest,4,134,False
gin,prefix,gingerly,3,1018,True
glob,prefix,global,4,75,False
glut,prefix,gluteus,4,44,False
glyc,prefix,glycogen,4,59,False
gno,prefix,agnosia,3,186,False
god,prefix,god-awful,3,97,False
gon,prefix,goniometer,3,422,True
good,prefix,good-for-naught,4,47,False
gorg,prefix,gorge,4,49,False
gram,prefix,anagram,4,278,True
gran,prefix,degranulation,4,171,False
grat,prefix,aggrace,4,95,False
grav,prefix,aggravate,4,98,False
gust,prefix,disgust,4,43,False
gyr,prefix,agyria,3,82,False
hal,prefix,halide,3,730,True
hand,prefix,backhand,4,291,True
hap,prefix,haphazard,3,263,True
hard,prefix,foolhardy,4,155,False
harm,prefix,harmony,4,116,False
head,prefix,head-in-the-clouds,4,519,True
heal,prefix,inhale,4,57,False
hedr,embedded,octahedron,4,54,False
hed,prefix,anhedonia,3,931,True
heli,prefix,aphelion,4,150,False
hemi,prefix,anhemitonic,4,134,False
hemo,prefix,hematite,4,60,False
hen,prefix,enosis,3,483,True
herb,prefix,herbaceous,4,65,False
herm,prefix,herm,4,107,False
hero,prefix,antihero,4,92,False
hex,prefix,hexachord,3,103,False
hier,prefix,hierarch,4,207,True
high,prefix,highclass,4,88,False
hind,prefix,hindsight,4,56,False
hipp,prefix,ephippium,4,114,False
hi,prefix,dehisce,2,6019,True
hol,prefix,catholic,3,626,True
hom,prefix,homiletic,3,381,True
hood,suffix,manhood,4,187,False
hor,prefix,horologist,3,978,True
hort,prefix,antecourt,4,90,False
host,prefix,host,4,62,False
hot,suffix,baking_hot,3,385,True
hum,prefix,disinhume,3,393,True
hydr,prefix,clepsydra,4,181,False
hys,prefix,hyena,3,101,False
iac,suffix,maniac,3,195,False
ian,suffix,African,3,804,True
iast,suffix,enthusiast,4,52,False
iatr,prefix,geriatrics,4,54,False
ia,suffix,Anglia,2,5481,True
ible,suffix,edible,4,213,True
eic,suffix,diarrheic,3,70,False
ical,suffix,psychological,4,541,True
ice,suffix,justice,3,719,True
icos,prefix,hemi-icosahedron,4,41,False
ics,suffix,acoustics,3,569,True
id,suffix,fluid,2,5405,True
iden,prefix,identity,4,125,False
ide,prefix,ideogram,3,1510,True
idi,prefix,idiolect,3,764,True
ient,embedded,ambient,4,169,False
ier,suffix,carrier,3,2950,True
ies,suffix,fries,3,5513,True
ie,suffix,aerie,2,11464,True
iff,suffix,bailiff,3,329,True
ify,suffix,mollify,3,352,True
ign,prefix,igneous,3,495,True
ile,suffix,juvenile,3,1016,True
ill,prefix,ill-advised,3,1871,True
ily,suffix,eerily,3,660,True
imbr,prefix,ignimbrite,4,43,False
ind,prefix,indigo,3,971,True
ino,suffix,bambino,3,570,True
ine,suffix,feminine,3,3669,True
ing,suffix,acting,3,16473,True
inan,prefix,inane,4,69,False
ion,suffix,cancellation,3,2649,True
ior,suffix,exterior,3,131,False
ious,suffix,gracious,4,273,True
iple,suffix,principle,4,49,False
ique,suffix,antique,4,145,False
irid,prefix,iridescent,4,43,False
ise,suffix,exercise,3,2874,True
ish,suffix,foolish,3,1749,True
isl,prefix,islet,3,181,False
ism,suffix,alcoholism,3,1711,True
ison,suffix,benison,4,115,False
iss,prefix,issue,3,663,True
ist,suffix,artist,3,2987,True
ite,suffix,Mennonite,3,2035,True
iter,prefix,iterate,4,279,True
itic,suffix,achondritic,4,270,True
itis,suffix,meningitis,4,243,True
ity,suffix,celebrity,3,844,True
ive,suffix,abusive,3,1522,True
ize,suffix,emphasize,3,2030,True
jac,prefix,adjacency,3,204,True
joc,prefix,jewel,3,54,False
join,prefix,adjoin,4,104,False
jug,prefix,conjugal,3,71,False
kilo,prefix,kilobyte,4,50,False
kin,suffix,cannikin,3,1581,True
kind,suffix,mankind,4,59,False
la,suffix,acerola,2,10523,True
labi,prefix,bilabial,4,71,False
lact,prefix,ablactate,4,55,False
lamp,prefix,lamp,4,96,False
land,suffix,inland,4,423,True
lane,suffix,dual-lane,4,120,False
lang,prefix,language,4,143,False
laps,embedded,collapse,4,76,False
larg,prefix,allargando,4,41,False
lass,prefix,lassitude,4,168,False
lat,prefix,laticlave,3,1710,True
lav,prefix,launder,3,245,True
lax,prefix,lax,3,94,False
le,suffix,handle,2,16229,True
leas,embedded,release,4,116,False
leg,prefix,allegation,3,375,True
lega,prefix,legacy,4,92,False
lei,prefix,leiomyoma,3,149,False
leni,prefix,leniency,4,90,False
lent,suffix,relent,4,186,False
leon,prefix,chameleon,4,40,False
lep,prefix,antilepton,3,187,False
less,suffix,friendless,4,1120,True
let,suffix,aglet,3,955,True
lev,prefix,alleviate,3,196,False
lex,prefix,lexicology,3,209,True
lic,prefix,license,3,937,True
life,prefix,life-giving,4,74,False
lign,prefix,ligne,4,61,False
lig,prefix,ligament,3,468,True
like,suffix,airlike,4,704,True
line,prefix,delete,4,685,True
ling,suffix,duckling,4,2304,True
lin,prefix,linen,3,3857,True
lip,prefix,lipolysis,3,397,True
lip,embedded,eclipse,3,397,True
liqu,prefix,deliquesce,4,120,False
lite,suffix,actinolite,4,322,True
lith,prefix,aerolithology,4,175,False
lit,prefix,litany,3,1237,True
lit,suffix,floodlit,3,1237,True
li,prefix,liable,2,13961,True
long,prefix,allonge,4,181,False
loc,prefix,accouchement,3,609,True
lot,prefix,lotion,3,532,True
love,prefix,loveable,4,123,False
low,prefix,low-altitude,3,691,True
loy,suffix,alloy,3,102,False
luc,prefix,elucidate,3,174,False
lug,embedded,deluge,3,106,False
lun,prefix,circumlunar,3,271,True
lut,prefix,corpus luteum,3,355,True
ly,suffix,carelessly,2,5586,True
magn,prefix,magnanimity,4,71,False
main,prefix,mainstream,4,96,False
mal,prefix,dismal,3,630,True
mamm,prefix,mammal,4,60,False
man,suffix,businessman,3,1741,True
mans,prefix,mansion,4,94,False
man,prefix,emanant,3,1741,True
manc,embedded,,4,76,False
mar,prefix,maar,3,987,True
mas,prefix,emasculate,3,710,True
mean,embedded,demeanor,4,59,False
mell,prefix,melliferous,4,88,False
melo,prefix,melodrama,4,73,False
men,prefix,menopause,3,1856,True
mend,prefix,amend,4,67,False
mens,prefix,commensurate,4,87,False
ment,prefix,comment,4,858,True
ment,embedded,containment,4,858,True
merc,prefix,amercement,4,84,False
mero,prefix,merocrine,4,54,False
mer,prefix,antimere,3,1201,True
mes,prefix,Mesolithic,3,858,True
mic,prefix,mica,3,770,True
midi,prefix,midi-length,4,48,False
mid,prefix,midriff,3,329,True
mill,prefix,mile,4,180,False
mim,prefix,mime,3,72,False
min,prefix,administer,3,1776,True
mina,prefix,amenable,4,279,True
mio,prefix,miosis,3,57,False
mir,prefix,admirability,3,183,False
mit,prefix,mitochondrion,3,569,True
mn,prefix,mina,2,319,True
mne,prefix,amnesia,3,100,False
mob,prefix,immobilize,3,90,False
mod,prefix,accommodate,3,235,True
mol,prefix,demolish,3,348,True
moll,prefix,emollience,4,42,False
mon,prefix,monachism,3,1089,True
mono,prefix,monochromat,4,295,True
mont,prefix,amount,4,69,False
moon,prefix,moon-faced,4,103,False
mor,prefix,immoral,3,658,True
mor,embedded,sophomore,3,658,True
mort,prefix,antemortem,4,92,False
muni,prefix,communicate,4,52,False
mun,prefix,munificent,3,179,False
mur,prefix,antemural,3,224,True
mus,prefix,mouse,3,364,True
musc,prefix,Musca,4,54,False
mut,prefix,immutable,3,207,True
myl,prefix,amyloid,3,51,False
mys,prefix,mysophilia,3,55,False
myth,prefix,mythic,4,51,False
my,prefix,miosis,2,798,True
nap,prefix,napiform,3,242,True
nap,suffix,kidnap,3,242,True
narc,prefix,narcolepsy,4,94,False
narr,prefix,counternarrative,4,45,False
nar,prefix,internarial,3,574,True
nas,prefix,intranasal,3,500,True
nata,suffix,sonata,4,42,False
naut,prefix,aeronautic,4,40,False
neg,prefix,abnegation,3,146,False
nerv,prefix,enervate,4,58,False
nes,prefix,Chersonesus,3,3651,True
ness,suffix,carelessness,4,1781,True
neur,prefix,aponeurosis,4,115,False
ne,prefix,axoneme,2,11728,True
niv,prefix,Nevada,3,84,False
noc,prefix,innocence,3,219,True
nod,prefix,acnode,3,165,False
nom,prefix,agronomy,3,380,True
non,prefix,nonconforming,3,832,True
norm,prefix,abnormal,4,46,False
nost,prefix,nostalgia,4,52,False
nour,prefix,malnourish,4,40,False
nov,prefix,innovate,3,131,False
nuc,prefix,enucleate,3,99,False
nud,prefix,denudation,3,55,False
nur,prefix,nurse,3,191,False
nu,prefix,circumnutate,2,1509,True
oct,prefix,octangular,3,221,True
ocul,prefix,ocular,4,61,False
ode,suffix,anode,3,577,True
odi,prefix,odious,3,550,True
odor,prefix,malodorous,4,45,False
oec,prefix,andromonecy,3,58,False
oen,prefix,enology,3,92,False
off,prefix,off-color,3,366,True
oid,suffix,asteroid,3,826,True
ole,prefix,oleosity,3,1055,True
ole,suffix,amphibole,3,1055,True
oma,suffix,melanoma,3,789,True
omas,prefix,abomasum,4,99,False
ome,suffix,abrocome,3,1304,True
omin,prefix,abominable,4,230,True
omni,prefix,omnipotence,4,48,False
om,prefix,acromion,2,5283,True
onc,prefix,oncocyte,3,386,True
oner,prefix,exonerate,4,214,True
one,prefix,oneparty,3,1776,True
oni,prefix,oniochalasia,3,1762,True
ont,prefix,dysontogenesis,3,642,True
onym,prefix,acronym,4,130,False
oo,prefix,bottarga,2,5552,True
oon,suffix,afternoon,3,560,True
oper,prefix,operate,4,161,False
oper,prefix,interoperculum,4,161,False
ophi,prefix,ophicephalous,4,202,True
opia,suffix,amblyopia,4,87,False
opsi,prefix,opsimath,4,84,False
opt,prefix,adopt,3,200,True
opul,prefix,opulence,4,60,False
op,prefix,metope,2,4372,True
or,suffix,creator,2,11823,True
ora,prefix,adore,3,753,True
orb,prefix,orbit,3,248,True
orch,prefix,anorchia,4,87,False
ord,embedded,primordial,3,585,True
org,prefix,orgasm,3,240,True
orn,prefix,adorn,3,650,True
oro,prefix,orogenesis,3,374,True
orth,prefix,orthocenter,4,157,False
ory,suffix,adulatory,3,361,True
or,prefix,adosculation,2,11823,True
ose,suffix,lactose,3,1210,True
os,suffix,chaos,2,6344,True
osis,suffix,genesis,4,178,False
osm,prefix,osmometry,3,131,False
oss,prefix,exossation,3,565,True
oste,prefix,dysostosis,4,191,False
osti,prefix,ostiary,4,108,False
ot,prefix,anotia,2,5496,True
otic,suffix,abiotic,4,245,True
ous,suffix,ridiculous,3,2193,True
out,prefix,outgoing,3,2185,True
out,suffix,all-out,3,2185,True
over,prefix,overconfident,4,1392,True
ov,prefix,obovate,2,2404,True
ovi,prefix,ovile,3,262,True
oxy,prefix,anoxia,3,115,False
oz,prefix,ozocerite,2,460,True
pact,prefix,compact,4,45,False
pac,prefix,appease,3,419,True
pae,prefix,anapaest,3,77,False
pair,suffix,repair,4,56,False
pall,prefix,pallid,4,89,False
palm,prefix,palmate,4,69,False
pal,prefix,impale,3,537,True
pan,prefix,appanage,3,768,True
par,prefix,apparat,3,1319,True
part,prefix,apart,4,203,True
pass,embedded,passive,4,155,False
path,prefix,allopath,4,132,False
pat,prefix,impatent,3,630,True
pav,prefix,pavage,3,73,False
pect,prefix,pectic,4,120,False
ped,prefix,biped,3,843,True
pel,embedded,compel,3,426,True
pen,prefix,peninsula,3,829,True
pent,prefix,diapente,4,141,False
pept,prefix,dipeptide,4,45,False
peri,prefix,Pericles,4,396,True
peri,prefix,peril,4,396,True
per,prefix,peridium,3,2478,True
peta,prefix,petabit,4,52,False
pet,prefix,appetite,3,388,True
petr,prefix,epipetric,4,60,False
phag,prefix,autophagosome,4,77,False
phe,prefix,phenomenon,3,489,True
phob,prefix,phobia,4,84,False
phon,prefix,acrophonic,4,285,True
phyl,prefix,phylogenetics,4,87,False
phys,prefix,physogastric,4,67,False
phyt,prefix,phytoplankton,4,104,False
pico,prefix,picofarad,4,45,False
pic,prefix,piceous,3,590,True
pil,prefix,pile,3,430,True
pin,prefix,pineal gland,3,1416,True
pink,suffix,deep-pink,4,45,False
pir,prefix,piriformis muscle,3,301,True
pis,prefix,pisoid,3,341,True
pi,prefix,expiate,2,5452,True
plan,prefix,applanate,4,287,True
plat,prefix,piazza,4,158,False
plen,prefix,plenary,4,70,False
plic,prefix,appliance,4,89,False
ploy,embedded,deployment,4,40,False
plu,prefix,pluvial,3,343,True
plum,prefix,plumage,4,133,False
pod,prefix,amphipod,3,334,True
pol,prefix,dipole,3,772,True
pole,prefix,duopoly,4,91,False
poli,prefix,poliomyelitis,4,135,False
poll,prefix,,4,125,False
poly,prefix,hoi polloi,4,267,True
pom,prefix,,3,113,False
pont,prefix,pontoon,4,51,False
por,prefix,aporetic,3,725,True
port,prefix,comport,4,326,True
post,prefix,posterior,4,328,True
pot,prefix,potable,3,459,True
prat,prefix,,4,52,False
prec,prefix,deprecation,4,187,False
pred,prefix,depredate,4,106,False
pre,prefix,previous,3,1670,True
prim,prefix,coprime,4,105,False
prin,prefix,,4,204,True
pris,prefix,prison,4,115,False
priv,prefix,deprivation,4,57,False
pri,prefix,prion,3,810,True
prob,prefix,approbation,4,72,False
prom,prefix,prominent,4,84,False
prop,prefix,propaedeutic,4,200,True
pros,prefix,prosenchyma,4,145,False
prot,prefix,amphiprotic,4,172,False
pro,prefix,procrastinate,3,1572,True
psa,prefix,palimpsest,3,72,False
pter,prefix,apterous,4,133,False
pto,prefix,anaptotic,3,171,False
pty,prefix,hemoptysis,3,42,False
pub,prefix,pubescent,3,60,False
pul,embedded,compulsion,3,425,True
pun,prefix,punitive,3,250,True
pup,prefix,pupa,3,74,False
pur,prefix,impurity,3,379,True
put,prefix,amputate,3,215,True
pyr,prefix,antipyretic,3,221,True
py,prefix,empyema,2,761,True
qual,prefix,quality,4,90,False
quip,embedded,equip,4,43,False
quis,embedded,conquistador,4,62,False
quot,prefix,quota,4,48,False
rab,prefix,rabid,3,518,True
radi,prefix,radiance,4,227,True
ram,prefix,ramification,3,918,True
ran,prefix,Rana,3,1639,True
ranc,prefix,rancid,4,224,True
raph,prefix,raphae,4,270,True
rap,prefix,rapeseed,3,812,True
rar,prefix,rarity,3,193,False
rat,prefix,ratify,3,1673,True
rav,prefix,ravish,3,355,True
rem,prefix,bireme,3,656,True
rend,prefix,render,4,73,False
ren,prefix,renal,3,825,True
ret,prefix,reticle,3,1099,True
rhe,prefix,rheology,3,181,False
rho,prefix,rho,3,173,False
ric,suffix,acentric,3,1249,True
rium,suffix,aquarium,4,141,False
riv,prefix,derive,3,384,True
rock,prefix,rock-bottom,4,164,False
rog,prefix,abrogate,3,393,True
rot,prefix,arrondissement,3,714,True
rou,prefix,rouge,3,994,True
roy,prefix,royalty,3,91,False
rug,prefix,corrugant,3,142,False
rur,prefix,nonrural,3,65,False
rust,prefix,rust-brown,4,182,False
ry,suffix,chemistry,2,2611,True
sal,prefix,salinity,3,728,True
san,suffix,archdiocesan,3,546,True
sanc,prefix,sacrosanct,4,53,False
sarc,prefix,consarcination,4,46,False
saur,prefix,dinosaur,4,61,False
scal,prefix,scalar,4,213,True
scap,prefix,scape,4,111,False
scat,prefix,scatemia,4,74,False
scen,prefix,parascenium,4,187,False
sci,prefix,conscience,3,310,True
scot,prefix,scotobiology,4,41,False
scur,embedded,obscure,4,49,False
scut,prefix,scute,4,51,False
sea,suffix,deep-sea,3,432,True
seb,prefix,sebaceous,3,80,False
self,prefix,self-discipline,4,46,False
sell,prefix,sella turcica,4,131,False
sema,prefix,aposematic,4,54,False
semi,prefix,semiannual,4,183,False
sen,prefix,senior,3,504,True
sept,prefix,septennial,4,68,False
seri,prefix,serious,4,111,False
ser,prefix,serotine,3,1350,True
sero,prefix,serologic,4,51,False
serr,prefix,biserrate,4,44,False
sert,suffix,assert,4,71,False
serv,prefix,conserve,4,135,False
set,prefix,seta,3,364,True
sext,prefix,bissextile,4,44,False
ship,suffix,assistantship,4,384,True
sick,suffix,air_sick,4,88,False
side,prefix,side_by_side,4,313,True
sign,prefix,design,4,192,False
sil,prefix,silence,3,415,True
silv,prefix,silviculture,4,48,False
simi,prefix,simian,4,47,False
sine,prefix,sine_die,4,162,False
sion,suffix,cohesion,4,411,True
sist,suffix,assist,4,116,False
sis,suffix,exegesis,3,648,True
sit,prefix,ectoparasite,3,519,True
sive,suffix,abusive,4,202,True
siz,prefix,,3,117,False
sli,embedded,,3,410,True
snow,prefix,snow-blind,4,115,False
soci,prefix,associate,4,68,False
soft,prefix,soft-boiled,4,56,False
sol,prefix,solar,3,606,True
sol,prefix,desolate,3,606,True
sole,prefix,insolence,4,123,False
some,suffix,lonesome,4,291,True
son,prefix,absonant,3,603,True
soph,prefix,antisophism,4,67,False
sort,suffix,consort,4,74,False
