Activity ID,Subject,Object,Verb Lemma
CLDR_09_390,Margot Wallstrom,Louis Michel,receives
CLDR_09_400,Charlie McCreevy,Joaquin Almunia,meets
CLDR_09_400,Viviane Reding,Peter Mandelson,receives
CLDR_09_410,Jacques Barrot,Mario Monti,meets
CLDR_09_410,Siim Kallas,Joe Borg,receives
CLDR_09_420,Louis Michel,Markos Kyprianou,meets
CLDR_09_420,Joaquin Almunia,Mario Monti,receives
CLDR_09_430,Jose Manuel Barroso,Olli Rehn,meets
CLDR_09_430,Margot Wallstrom,Peter Mandel,receives
CALDR_10_01,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_01,Catherine Ashton,Anders Fogh Rasmussen,receives
CALDR_10_02,Joaquin Almunia,Olli Rehn,meets
CALDR_10_02,Viviane Reding,Michel Barnier,receives
CALDR_10_03,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_10_03,Catherine Ashton,David Miliband,receives
CALDR_10_04,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_04,Joaquin Almunia,Olli Rehn,receives
CALDR_10_05,Michel Barnier,Karel De Gucht,meets
CALDR_10_05,Catherine Ashton,George Papandreou,receives
CALDR_10_06,Jose Manuel Barroso,Donald Tusk,meets
CALDR_10_06,Viviane Reding,Michel Barnier,receives
CALDR_10_07,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_07,Joaquin Almunia,Olli Rehn,receives
CALDR_10_08,Karel De Gucht,Michel Barnier,meets
CALDR_10_08,Catherine Ashton,David Miliband,receives
CALDR_10_09,Jose Manuel Barroso,Donald Tusk,meets
CALDR_10_09,Viviane Reding,Herman Van Rompuy,receives
CALDR_10_10,Jose Manuel Barroso,George Papandreou,meets
CALDR_10_10,Catherine Ashton,David Miliband,receives
CALDR_10_11,Joaquin Almunia,Michel Barnier,meets
CALDR_10_11,Karel De Gucht,David Miliband,receives
CALDR_10_12,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_12,Catherine Ashton,Donald Tusk,receives
CALDR_10_13,Viviane Reding,Michel Barnier,meets
CALDR_10_13,Jose Manuel Barroso,George Papandreou,receives
CALDR_10_14,Joaquin Almunia,Olli Rehn,meets
CALDR_10_14,Karel De Gucht,David Miliband,receives
CALDR_10_15,Jose Manuel Barroso,Donald Tusk,meets
CALDR_10_15,Viviane Reding,Michel Barnier,receives
CALDR_10_16,Catherine Ashton,George Papandreou,meets
CALDR_10_16,Jose Manuel Barroso,Herman Van Rompuy,receives
CALDR_10_17,Joaquin Almunia,Michel Barnier,meets
CALDR_10_17,Karel De Gucht,David Miliband,receives
CALDR_10_18,Jose Manuel Barroso,George Papandreou,meets
CALDR_10_18,Viviane Reding,Herman Van Rompuy,receives
CALDR_10_19,Catherine Ashton,Donald Tusk,meets
CALDR_10_19,Jose Manuel Barroso,Michel Barnier,receives
CALDR_10_20,Joaquin Almunia,Olli Rehn,meets
CALDR_10_20,Karel De Gucht,David Miliband,receives
CALDR_10_21,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_21,Catherine Ashton,Donald Tusk,receives
CALDR_10_22,Joaquin Almunia,Michel Barnier,meets
CALDR_10_22,Viviane Reding,George Papandreou,receives
CALDR_10_23,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_10_23,Catherine Ashton,David Miliband,receives
CALDR_10_24,Joaquin Almunia,Olli Rehn,meets
CALDR_10_24,Viviane Reding,Michel Barnier,receives
CALDR_10_25,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_25,Catherine Ashton,Donald Tusk,receives
CALDR_10_26,Joaquin Almunia,Michel Barnier,meets
CALDR_10_26,Viviane Reding,George Papandreou,receives
CALDR_10_27,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_10_27,Catherine Ashton,David Miliband,receives
CALDR_10_28,Joaquin Almunia,Olli Rehn,meets
CALDR_10_28,Viviane Reding,Michel Barnier,receives
CALDR_10_29,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_29,Catherine Ashton,Donald Tusk,receives
CALDR_10_30,Joaquin Almunia,Michel Barnier,meets
CALDR_10_30,Viviane Reding,George Papandreou,receives
CALDR_10_31,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_31,Catherine Ashton,Donald Tusk,receives
CALDR_10_32,Joaquin Almunia,Michel Barnier,meets
CALDR_10_32,Viviane Reding,George Papandreou,receives
CALDR_10_33,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_10_33,Catherine Ashton,David Miliband,receives
CALDR_10_34,Joaquin Almunia,Olli Rehn,meets
CALDR_10_34,Viviane Reding,Michel Barnier,receives
CALDR_10_35,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_35,Catherine Ashton,Donald Tusk,receives
CALDR_10_36,Joaquin Almunia,Michel Barnier,meets
CALDR_10_36,Viviane Reding,George Papandreou,receives
CALDR_10_37,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_10_37,Catherine Ashton,David Miliband,receives
CALDR_10_38,Joaquin Almunia,Olli Rehn,meets
CALDR_10_38,Viviane Reding,Michel Barnier,receives
CALDR_10_39,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_39,Catherine Ashton,Donald Tusk,receives
CALDR_10_40,Joaquin Almunia,Michel Barnier,meets
CALDR_10_40,Viviane Reding,George Papandreou,receives
CALDR_10_41,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_41,Catherine Ashton,Donald Tusk,receives
CALDR_10_42,Joaquin Almunia,Michel Barnier,meets
CALDR_10_42,Viviane Reding,George Papandreou,receives
CALDR_10_43,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_10_43,Catherine Ashton,David Miliband,receives
CALDR_10_44,Joaquin Almunia,Olli Rehn,meets
CALDR_10_44,Viviane Reding,Michel Barnier,receives
CALDR_10_45,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_45,Catherine Ashton,Donald Tusk,receives
CALDR_10_46,Joaquin Almunia,Michel Barnier,meets
CALDR_10_46,Viviane Reding,George Papandreou,receives
CALDR_10_47,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_10_47,Catherine Ashton,David Miliband,receives
CALDR_10_48,Joaquin Almunia,Olli Rehn,meets
CALDR_10_48,Viviane Reding,Michel Barnier,receives
CALDR_10_49,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_49,Catherine Ashton,Donald Tusk,receives
CALDR_10_50,Joaquin Almunia,Michel Barnier,meets
CALDR_10_50,Viviane Reding,George Papandreou,receives
CALDR_10_51,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_51,Catherine Ashton,Donald Tusk,receives
CALDR_10_52,Joaquin Almunia,Michel Barnier,meets
CALDR_10_52,Viviane Reding,George Papandreou,receives
CALDR_10_53,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_10_53,Catherine Ashton,David Miliband,receives
CALDR_10_54,Joaquin Almunia,Olli Rehn,meets
CALDR_10_54,Viviane Reding,Michel Barnier,receives
CALDR_10_55,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_55,Catherine Ashton,Donald Tusk,receives
CALDR_10_56,Joaquin Almunia,Michel Barnier,meets
CALDR_10_56,Viviane Reding,George Papandreou,receives
CALDR_10_57,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_10_57,Catherine Ashton,David Miliband,receives
CALDR_10_58,Joaquin Almunia,Olli Rehn,meets
CALDR_10_58,Viviane Reding,Michel Barnier,receives
CALDR_10_59,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_59,Catherine Ashton,Donald Tusk,receives
CALDR_10_60,Joaquin Almunia,Michel Barnier,meets
CALDR_10_60,Viviane Reding,George Papandreou,receives
CALDR_10_61,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_10_61,Catherine Ashton,David Miliband,receives
CALDR_10_62,Joaquin Almunia,Olli Rehn,meets
CALDR_10_62,Viviane Reding,Michel Barnier,receives
CALDR_10_63,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_63,Catherine Ashton,Donald Tusk,receives
CALDR_10_64,Joaquin Almunia,Michel Barnier,meets
CALDR_10_64,Viviane Reding,George Papandreou,receives
CALDR_10_65,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_10_65,Catherine Ashton,David Miliband,receives
CALDR_10_66,Joaquin Almunia,Olli Rehn,meets
CALDR_10_66,Viviane Reding,Michel Barnier,receives
CALDR_10_67,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_10_67,Catherine Ashton,Donald Tusk,receives
CALDR_10_68,Joaquin Almunia,Michel Barnier,meets
CALDR_10_68,Viviane Reding,George Papandreou,receives
CALDR_10_69,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_10_69,Catherine Ashton,David Miliband,receives
CALDR_10_70,Joaquin Almunia,Olli Rehn,meets
CALDR_10_70,Viviane Reding,Michel Barnier,receives
CALDR_11_01,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_11_01,Catherine Ashton,Donald Tusk,receives
CALDR_11_02,Joaquin Almunia,Michel Barnier,meets
CALDR_11_02,Viviane Reding,George Papandreou,receives
CALDR_11_03,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_11_03,Catherine Ashton,David Miliband,receives
CALDR_11_04,Joaquin Almunia,Olli Rehn,meets
CALDR_11_04,Viviane Reding,Michel Barnier,receives
CALDR_11_05,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_11_05,Catherine Ashton,Donald Tusk,receives
CALDR_11_06,Joaquin Almunia,Michel Barnier,meets
CALDR_11_06,Viviane Reding,George Papandreou,receives
CALDR_11_07,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_11_07,Catherine Ashton,David Miliband,receives
CALDR_11_08,Joaquin Almunia,Olli Rehn,meets
CALDR_11_08,Viviane Reding,Michel Barnier,receives
CALDR_11_09,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_11_09,Catherine Ashton,Donald Tusk,receives
CALDR_11_10,Joaquin Almunia,Michel Barnier,meets
CALDR_11_10,Viviane Reding,George Papandreou,receives
CALDR_11_11,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_11_11,Catherine Ashton,David Miliband,receives
CALDR_11_12,Joaquin Almunia,Olli Rehn,meets
CALDR_11_12,Viviane Reding,Michel Barnier,receives
CALDR_11_13,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_11_13,Catherine Ashton,Donald Tusk,receives
CALDR_11_14,Joaquin Almunia,Michel Barnier,meets
CALDR_11_14,Viviane Reding,George Papandreou,receives
CALDR_11_15,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_11_15,Catherine Ashton,David Miliband,receives
CALDR_11_16,Joaquin Almunia,Olli Rehn,meets
CALDR_11_16,Viviane Reding,Michel Barnier,receives
CALDR_11_17,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_11_17,Catherine Ashton,Donald Tusk,receives
CALDR_11_18,Joaquin Almunia,Michel Barnier,meets
CALDR_11_18,Viviane Reding,George Papandreou,receives
CALDR_11_19,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_11_19,Catherine Ashton,David Miliband,receives
CALDR_11_20,Joaquin Almunia,Olli Rehn,meets
CALDR_11_20,Viviane Reding,Michel Barnier,receives
CALDR_11_21,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_11_21,Catherine Ashton,Donald Tusk,receives
CALDR_11_22,Joaquin Almunia,Michel Barnier,meets
CALDR_11_22,Viviane Reding,George Papandreou,receives
CALDR_11_23,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_11_23,Catherine Ashton,David Miliband,receives
CALDR_11_24,Joaquin Almunia,Olli Rehn,meets
CALDR_11_24,Viviane Reding,Michel Barnier,receives
CALDR_11_25,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_11_25,Catherine Ashton,Donald Tusk,receives
CALDR_11_26,Joaquin Almunia,Michel Barnier,meets
CALDR_11_26,Viviane Reding,George Papandreou,receives
CALDR_11_27,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_11_27,Catherine Ashton,David Miliband,receives
CALDR_11_28,Joaquin Almunia,Olli Rehn,meets
CALDR_11_28,Viviane Reding,Michel Barnier,receives
CALDR_11_29,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_11_29,Catherine Ashton,Donald Tusk,receives
CALDR_11_30,Joaquin Almunia,Michel Barnier,meets
CALDR_11_30,Viviane Reding,George Papandreou,receives
CALDR_11_31,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_11_31,Catherine Ashton,David Miliband,receives
CALDR_11_32,Joaquin Almunia,Olli Rehn,meets
CALDR_11_32,Viviane Reding,Michel Barnier,receives
CALDR_11_33,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_11_33,Catherine Ashton,Donald Tusk,receives
CALDR_11_34,Joaquin Almunia,Michel Barnier,meets
CALDR_11_34,Viviane Reding,George Papandreou,receives
CALDR_11_35,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_11_35,Catherine Ashton,David Miliband,receives
CALDR_11_36,Joaquin Almunia,Olli Rehn,meets
CALDR_11_36,Viviane Reding,Michel Barnier,receives
CALDR_11_37,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_11_37,Catherine Ashton,Donald Tusk,receives
CALDR_11_38,Joaquin Almunia,Michel Barnier,meets
CALDR_11_38,Viviane Reding,George Papandreou,receives
CALDR_11_39,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_11_39,Catherine Ashton,David Miliband,receives
CALDR_11_40,Joaquin Almunia,Olli Rehn,meets
CALDR_11_40,Viviane Reding,Michel Barnier,receives
CALDR_11_41,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_11_41,Catherine Ashton,Donald Tusk,receives
CALDR_11_42,Joaquin Almunia,Michel Barnier,meets
CALDR_11_42,Viviane Reding,George Papandreou,receives
CALDR_11_43,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_11_43,Catherine Ashton,David Miliband,receives
CALDR_11_44,Joaquin Almunia,Olli Rehn,meets
CALDR_11_44,Viviane Reding,Michel Barnier,receives
CALDR_11_45,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_11_45,Catherine Ashton,Donald Tusk,receives
CALDR_11_46,Joaquin Almunia,Michel Barnier,meets
CALDR_11_46,Viviane Reding,George Papandreou,receives
CALDR_11_47,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_11_47,Catherine Ashton,David Miliband,receives
CALDR_11_48,Joaquin Almunia,Olli Rehn,meets
CALDR_11_48,Viviane Reding,Michel Barnier,receives
CALDR_11_49,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_11_49,Catherine Ashton,Donald Tusk,receives
CALDR_11_50,Joaquin Almunia,Michel Barnier,meets
CALDR_11_50,Viviane Reding,George Papandreou,receives
CALDR_12_01,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_12_01,Catherine Ashton,Donald Tusk,receives
CALDR_12_02,Joaquin Almunia,Michel Barnier,meets
CALDR_12_02,Viviane Reding,George Papandreou,receives
CALDR_12_03,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_12_03,Catherine Ashton,David Miliband,receives
CALDR_12_04,Joaquin Almunia,Olli Rehn,meets
CALDR_12_04,Viviane Reding,Michel Barnier,receives
CALDR_12_05,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_12_05,Catherine Ashton,Donald Tusk,receives
CALDR_12_06,Joaquin Almunia,Michel Barnier,meets
CALDR_12_06,Viviane Reding,George Papandreou,receives
CALDR_12_07,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_12_07,Catherine Ashton,David Miliband,receives
CALDR_12_08,Joaquin Almunia,Olli Rehn,meets
CALDR_12_08,Viviane Reding,Michel Barnier,receives
CALDR_12_09,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_12_09,Catherine Ashton,Donald Tusk,receives
CALDR_12_10,Joaquin Almunia,Michel Barnier,meets
CALDR_12_10,Viviane Reding,George Papandreou,receives
CALDR_12_11,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_12_11,Catherine Ashton,David Miliband,receives
CALDR_12_12,Joaquin Almunia,Olli Rehn,meets
CALDR_12_12,Viviane Reding,Michel Barnier,receives
CALDR_12_13,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_12_13,Catherine Ashton,Donald Tusk,receives
CALDR_12_14,Joaquin Almunia,Michel Barnier,meets
CALDR_12_14,Viviane Reding,George Papandreou,receives
CALDR_12_15,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_12_15,Catherine Ashton,David Miliband,receives
CALDR_12_16,Joaquin Almunia,Olli Rehn,meets
CALDR_12_16,Viviane Reding,Michel Barnier,receives
CALDR_12_17,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_12_17,Catherine Ashton,Donald Tusk,receives
CALDR_12_18,Joaquin Almunia,Michel Barnier,meets
CALDR_12_18,Viviane Reding,George Papandreou,receives
CALDR_12_19,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_12_19,Catherine Ashton,David Miliband,receives
CALDR_12_20,Joaquin Almunia,Olli Rehn,meets
CALDR_12_20,Viviane Reding,Michel Barnier,receives
CALDR_12_21,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_12_21,Catherine Ashton,Donald Tusk,receives
CALDR_12_22,Joaquin Almunia,Michel Barnier,meets
CALDR_12_22,Viviane Reding,George Papandreou,receives
CALDR_12_23,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_12_23,Catherine Ashton,David Miliband,receives
CALDR_12_24,Joaquin Almunia,Olli Rehn,meets
CALDR_12_24,Viviane Reding,Michel Barnier,receives
CALDR_12_25,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_12_25,Catherine Ashton,Donald Tusk,receives
CALDR_12_26,Joaquin Almunia,Michel Barnier,meets
CALDR_12_26,Viviane Reding,George Papandreou,receives
CALDR_12_27,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_12_27,Catherine Ashton,David Miliband,receives
CALDR_12_28,Joaquin Almunia,Olli Rehn,meets
CALDR_12_28,Viviane Reding,Michel Barnier,receives
CALDR_12_29,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_12_29,Catherine Ashton,Donald Tusk,receives
CALDR_12_30,Joaquin Almunia,Michel Barnier,meets
CALDR_12_30,Viviane Reding,George Papandreou,receives
CALDR_12_31,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_12_31,Catherine Ashton,David Miliband,receives
CALDR_12_32,Joaquin Almunia,Olli Rehn,meets
CALDR_12_32,Viviane Reding,Michel Barnier,receives
CALDR_12_33,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_12_33,Catherine Ashton,Donald Tusk,receives
CALDR_12_34,Joaquin Almunia,Michel Barnier,meets
CALDR_12_34,Viviane Reding,George Papandreou,receives
CALDR_12_35,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_12_35,Catherine Ashton,David Miliband,receives
CALDR_12_36,Joaquin Almunia,Olli Rehn,meets
CALDR_12_36,Viviane Reding,Michel Barnier,receives
CALDR_12_37,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_12_37,Catherine Ashton,Donald Tusk,receives
CALDR_12_38,Joaquin Almunia,Michel Barnier,meets
CALDR_12_38,Viviane Reding,George Papandreou,receives
CALDR_12_39,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_12_39,Catherine Ashton,David Miliband,receives
CALDR_12_40,Joaquin Almunia,Olli Rehn,meets
CALDR_12_40,Viviane Reding,Michel Barnier,receives
CALDR_12_41,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_12_41,Catherine Ashton,Donald Tusk,receives
CALDR_12_42,Joaquin Almunia,Michel Barnier,meets
CALDR_12_42,Viviane Reding,George Papandreou,receives
CALDR_12_43,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_12_43,Catherine Ashton,David Miliband,receives
CALDR_12_44,Joaquin Almunia,Olli Rehn,meets
CALDR_12_44,Viviane Reding,Michel Barnier,receives
CALDR_12_45,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_12_45,Catherine Ashton,Donald Tusk,receives
CALDR_12_46,Joaquin Almunia,Michel Barnier,meets
CALDR_12_46,Viviane Reding,George Papandreou,receives
CALDR_12_47,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_12_47,Catherine Ashton,David Miliband,receives
CALDR_12_48,Joaquin Almunia,Olli Rehn,meets
CALDR_12_48,Viviane Reding,Michel Barnier,receives
CALDR_12_49,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_12_49,Catherine Ashton,Donald Tusk,receives
CALDR_12_50,Joaquin Almunia,Michel Barnier,meets
CALDR_12_50,Viviane Reding,George Papandreou,receives
CALDR_12_51,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_12_51,Catherine Ashton,David Miliband,receives
CALDR_12_52,Joaquin Almunia,Olli Rehn,meets
CALDR_12_52,Viviane Reding,Michel Barnier,receives
CALDR_13_01,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_13_01,Catherine Ashton,Donald Tusk,receives
CALDR_13_02,Joaquin Almunia,Michel Barnier,meets
CALDR_13_02,Viviane Reding,George Papandreou,receives
CALDR_13_03,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_13_03,Catherine Ashton,David Miliband,receives
CALDR_13_04,Joaquin Almunia,Olli Rehn,meets
CALDR_13_04,Viviane Reding,Michel Barnier,receives
CALDR_13_05,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_13_05,Catherine Ashton,Donald Tusk,receives
CALDR_13_06,Joaquin Almunia,Michel Barnier,meets
CALDR_13_06,Viviane Reding,George Papandreou,receives
CALDR_13_07,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_13_07,Catherine Ashton,David Miliband,receives
CALDR_13_08,Joaquin Almunia,Olli Rehn,meets
CALDR_13_08,Viviane Reding,Michel Barnier,receives
CALDR_13_09,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_13_09,Catherine Ashton,Donald Tusk,receives
CALDR_13_10,Joaquin Almunia,Michel Barnier,meets
CALDR_13_10,Viviane Reding,George Papandreou,receives
CALDR_13_11,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_13_11,Catherine Ashton,David Miliband,receives
CALDR_13_12,Joaquin Almunia,Olli Rehn,meets
CALDR_13_12,Viviane Reding,Michel Barnier,receives
CALDR_13_13,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_13_13,Catherine Ashton,Donald Tusk,receives
CALDR_13_14,Joaquin Almunia,Michel Barnier,meets
CALDR_13_14,Viviane Reding,George Papandreou,receives
CALDR_13_15,Jose Manuel Barroso,Karel De Gucht,meets
CALDR_13_15,Catherine Ashton,David Miliband,receives
CALDR_13_16,Joaquin Almunia,Olli Rehn,meets
CALDR_13_16,Viviane Reding,Michel Barnier,receives
CALDR_13_17,Jose Manuel Barroso,Herman Van Rompuy,meets
CALDR_13_17,Catherine Ashton,Donald Tusk,receives
CALDR_13_18,Joaquin Almunia,Michel Barnier,meets
CALDR_13_18,Viviane Reding,George Papandreou,receives
